view	name
1	catgy
1	type
1	subType
1	description
1	rr
1	roadNbr
1	color
1	markings
1	coupler
1	truck
1	scale
1	material
1	mfgName
1	prodLine
1	modNbr
1	catlg1
1	catlg1Nbr
1	catlg2
1	catlgnbr2
1	upc
1	purchDt
1	purchFrom
1	cost
1	condition
1	location
1	serNbr
1	value
1	wishList
1	forSale
1	priceOffer
1	saleDate
1	soldTo
1	saleBase
1	salesTax
2	rr
2	roadNbr
2	catgy
2	type
2	subType
2	mfgName
2	modNbr
2	description
2	color
2	markings
2	coupler
2	condition
2	value
3	location
3	catgy
3	type
3	subType
3	mfgName
3	modNbr
3	rr
3	roadNbr
4	scale
4	catgy
4	type
4	subType
4	mfgName
4	prodLine
4	modNbr
4	rr
4	roadNbr
4	condition
4	value 
5	scale
5	catgy
5	type
5	subType
5	mfgName
5	prodLine
5	modNbr
5	rr
5	roadNbr
5	condition
5	value 
6	scale
6	catgy
6	type
6	subType
6	mfgName
6	prodLine
6	modNbr
6	rr
6	roadNbr
6	condition
6	priceOffer 
